大分類,比較項目,TBAZ017M,TBBA001G,TBBA085G,確認状況・今後の対応
対象・特性,対象区分,パイロット対象,パイロット対象,パイロット対象,確認済み
対象・特性,想定役割,車両基本情報,現行新車受注,抹消・退避済み新車受注,暫定評価
対象・特性,暫定特性,マスタ系・現在値系候補,受注・状態管理系候補,アーカイブ系候補,暫定評価
物理構造,カラム数,71,247,248,確認済み
物理構造,テーブル形式,Kudu External Table,Kudu External Table,Kudu External Table,確認済み
物理構造,HASHパーティション数,12,12,12,確認済み
物理構造,日付・RANGEパーティション,なし,なし,なし,確認済み
物理構造,external.table.purge,TRUE,TRUE,TRUE,確認済み。DROP TABLEは実データへ影響する可能性があるため実行禁止
キー,ソース主キー,cd_hansya＋cd_kaisya＋cd_okyaku＋cd_norikusi＋kb_nosyasyu＋cd_nogyotai＋no_noseiri,cd_hansya＋cd_kaisya＋no_cyumon＋no_cyumoned,cd_hansya＋cd_kaisya＋no_cyumon＋no_cyumoned＋dd_uriage,確認済み
キー,車両接続キー候補,TRIM(no_frame),TRIM(no_frame),TRIM(no_frame),確認済み。有力候補だが単独主キーにはできない
キー,no_frame有効値率,約99.953%,約85.332%,100.000%,確認済み
キー,no_frameの1キー当たり平均行数,約5.30行,約2.17行,約2.00行,確認済み。3テーブルとも一意ではない
キー,no_frameの主な形式,6～7文字・大部分が数字,6～7文字・大部分が数字,6～7文字・大部分が数字,確認済み
キー,TBAZ017Mとのno_frame一致率,基準側,約97.2814%,約98.1529%,確認済み
キー,TBBA001GとTBBA085Gの共通no_frame,対象外,"618,573種類","618,573種類",確認済み。ただし同一受注の判定には使えない
件数,調査開始時の総件数,"23,708,345件","3,361,453件","2,209,291件",確認済み
件数,後続確認時の総件数,"23,708,578件","3,361,888件","2,209,291件",確認済み。SQL実行時点で変動する
件数,調査中の純増減,＋233件,＋435件,0件,確認済み。INSERT件数ではなく総件数差
データ期間,観測上のデータ期間,1983-10-31～2026-07-16（dt_johosaku基準）,1994-10-18～2026-07-16（dd_jucyu基準）,1998-05-16～2026-03-22（dd_jucyu基準）,確認済み。正式な保持期間ではない
データ期間,抹消・退避日時候補の期間,対象外,対象外,2003-05-08～2026-07-15（dt_massyo基準）,確認済み
データ量,月別発生量の暫定評価,月平均約21万～22万件・比較的安定,2026年上期月平均約14.4万件・増加傾向,2026年上期月平均約11.7万件・2025年5月以降に水準変化,確認済み。純増量ではなく日時基準の発生件数
データ量,2026年上期の前年同期比,約7.7%増,約118.8%増,約201.2%増,確認済み。増加理由は未確認
変更頻度,通常日の更新規模,"中央値約30,383件／日","中央値約5,664件／日",中央値約74件／日,確認済み。UPDATE命令回数ではない
変更頻度,大規模処理候補,"2026-07-01に773,055件","2026-07-15に833,997件","2026-07-01に16,288件",確認済み。処理原因は未確認
変更頻度,日次更新の有無,直近31日すべてで確認,直近31日すべてで確認,直近31日すべてで確認,確認済み
日時,ImpalaのNOW()基準,UTC,UTC,UTC,確認済み
日時,テーブル日時の想定基準,JST格納の可能性が高い,JST格納の可能性が高い,JST格納の可能性が高い,暫定評価。正式仕様は未確認
日時,日本時間基準の未来日時,3件（すべて2100-03-28 14:15:00）,0件,0件,確認済み
保持期間,正式な保持年数,未確認,未確認,未確認,未着手。システム仕様・運用ルールの確認が必要
保持期間,自動削除の有無,未確認,未確認,未確認,未着手。保持期限超過後の処理確認が必要
保持期間,アーカイブ・退避条件,未確認,未確認,未確認,未着手。特にTBBA001GからTBBA085Gへの条件確認が必要
更新・削除・訂正,INSERT件数の判別,Kudu現在値だけでは困難,Kudu現在値だけでは困難,Kudu現在値だけでは困難,未着手。CDC・連携ログ確認が必要
更新・削除・訂正,UPDATE件数の判別,Kudu現在値だけでは困難,Kudu現在値だけでは困難,Kudu現在値だけでは困難,未着手。CDC・連携ログ確認が必要
更新・削除・訂正,DELETE件数の判別,Kudu現在値だけでは不可,Kudu現在値だけでは不可,Kudu現在値だけでは不可,未着手。GoldenGate／Kafka／NiFi仕様確認が必要
更新・削除・訂正,訂正前データの保持,未確認,未確認,未確認,未着手。変更前・変更後データの有無を確認
更新・削除・訂正,取消関連カラムの実態,対象外または未整理,dd_torikesi等を確認予定,TBBA001Gとの比較が必要,未着手。設定条件・件数・状態遷移を確認
現行・抹消関係,受注キー4カラムの一致率,対象外,未確認,未確認,未着手。cd_hansya＋cd_kaisya＋no_cyumon＋no_cyumonedで比較予定
現行・抹消関係,同一受注の両テーブル共存,対象外,未確認,未確認,未着手
現行・抹消関係,TBBA085Gの同一受注キー複数dd_uriage,対象外,対象外,未確認,未着手
現行・抹消関係,コピー方式か移動方式か,対象外,未確認,未確認,未着手。受注キー比較と処理仕様確認が必要
現行・抹消関係,dt_massyoの正式な意味,対象外,対象外,未確認,未着手。業務抹消日時・格納日時・処理日時のいずれかを確認
Kafka・CDC,GoldenGateの操作種別,未確認,未確認,未確認,未着手。INSERT／UPDATE／DELETEの出力形式を確認
Kafka・CDC,Kafkaメッセージの操作種別,未確認,未確認,未確認,未着手
Kafka・CDC,Kafkaのbefore／after情報,未確認,未確認,未確認,未着手
Kafka・CDC,Kafkaトピック・パーティション・オフセット,Kuduテーブル上では確認不可,Kuduテーブル上では確認不可,Kuduテーブル上では確認不可,未着手。SMM・トピック仕様確認が必要
Kafka・CDC,NiFiのKudu書込み方式,未確認,未確認,未確認,未着手。UPSERT／DELETE処理を確認
Kafka・CDC,再処理時の重複防止,未確認,未確認,未確認,未着手
ハッシュ,csv_md5・kudu_md5の生成ルール,未確認,未確認,未確認,未着手。対象カラム・連結順・NULL処理・再計算条件を確認
履歴設計,現行テーブルが完全履歴を保持するか,標準的なSCD2カラムなし,標準的なSCD2カラムなし,標準的なSCD2カラムなし,確認済み。ただし上流履歴の有無は未確認
履歴設計,履歴保持方式,未決定,未決定,未決定,未着手。CDC仕様確認後にSCD2・イベント・スナップショット等を判断
履歴設計,履歴版キー,未設計,未設計,未設計,未着手。ソース主キー＋履歴開始日時等を検討
成果物,個別調査シート,未作成,未作成,未作成,未着手
成果物,最終担当者向け比較表,中間版,中間版,中間版,パイロット調査完了後に最終化
成果物,未確認・追加ヒアリング一覧,整理途中,整理途中,整理途中,未着手項目を関係者・確認先別に整理予定
