No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,説明/備考
1,販社コード,販社コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,cd_hansya,tbba001g.cd_hansya をそのまま取得,販社を識別するコード
2,会社コード,会社コード,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,cd_kaisya,tbba001g.cd_kaisya をそのまま取得,会社を識別するコード
3,注文ＮＯ,注文ＮＯ,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,no_cyumon,tbba001g.no_cyumon をそのまま取得,注文番号
4,注文ＮＯ枝番,注文ＮＯ枝番,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,no_cyumoned,tbba001g.no_cyumoned をそのまま取得,注文番号の枝番
5,配送予定日,配送予定日,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,dd_haisoyot,tbba001g.dd_haisoyot をそのまま取得,配送予定日
6,納車日,納車日,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,dd_nosya,tbba001g.dd_nosya をそのまま取得,納車日
7,買主名漢字,買主名漢字,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,kj_kainmei1 / kj_kainmei2,前後の半角・全角スペースを除去後、買主名漢字1・2を連結,買主名を1項目に整形
8,名義人名漢字,名義人名漢字,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,kj_meigime1 / kj_meigime2,前後の半角・全角スペースを除去後、名義人名漢字1・2を連結,名義人名を1項目に整形
9,販売店型式,販売店型式,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,mj_hantenkt,tbba001g.mj_hantenkt をそのまま取得,販売店型式
10,外鈑色,外鈑色,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,mj_gaihansy,tbba001g.mj_gaihansy をそのまま取得,外装色・塗色系のコード/値
11,受注計上日,受注計上日,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,dd_jucyuke,tbba001g.dd_jucyuke をそのまま取得,受注計上日
12,tbba008g.在庫状態区分,在庫状態区分,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba008g,kb_zaikojyo,tbba008g.kb_zaikojyo をそのまま取得,在庫状態の区分
13,tbba008g.仮納期,仮納期,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba008g,dd_karinoki,yyyyMMdd形式を TIMESTAMP 経由で DATE に変換。ただしDDL上はSTRING,仮納期
14,tbba008g.完成予定日,完成予定日,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba008g,dd_kansei,yyyyMMdd形式を TIMESTAMP 経由で DATE に変換。ただしDDL上はSTRING,完成予定日
15,tbba008g.配車予定日,配車予定日,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba008g,dd_haisyyo,yyyyMMdd形式を TIMESTAMP 経由で DATE に変換。ただしDDL上はSTRING,配車予定日
16,tbba008g.オーダー受理日,オーダー受理日,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba008g,dd_orderjur,tbba008g.dd_orderjur をそのまま取得,オーダー受理日
17,tbba035g.仮納期加算日数,仮納期加算日数,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba035g,su_nokikasn,tbba035g.su_nokikasn をそのまま取得,仮納期計算に使う加算日数
18,tbba035g.完成予定日加算日数,完成予定日加算日数,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba035g,su_kanseiks,tbba035g.su_kanseiks をそのまま取得,完成予定日計算に使う加算日数
19,tbba035g.確定納期加算日数,確定納期加算日数,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba035g,su_kakunoki,tbba035g.su_kakunoki をそのまま取得,確定納期計算に使う加算日数
20,tbz0002c.ジョブ日付,ジョブ日付,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbz0002c,dd_job,tbz0002c.dd_job をそのまま取得,処理基準日/ジョブ日付
21,前月1日,前月1日,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbz0002c,dd_job,"TRUNC(ADD_MONTHS(tbz0002c.dd_job, -1), 'MM') でジョブ日付の前月1日を算出",ジョブ日付を基準にした前月初日
22,振当日,振当日,STRING,有,なし,なし,なし,固定値,なし,空文字（''）を設定,SQL上は固定の空文字
23,振当予定,振当予定,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,dd_zjfryote,dd_zjfryote がNULLでなければ「予」、それ以外はNULL,振当予定の有無を示す簡易フラグ
24,販売店名,販売店名,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0200m,kj_kaisyatn,tbv0200m.kj_kaisyatn をそのまま取得,販売店名
25,社員名,社員名,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbv0014m,kj_syainmei,tbv0014m.kj_syainmei をそのまま取得,販売スタッフ/社員名
26,車名,車名,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbbf001m,kj_kurumame,tbbf001m.kj_kurumame をそのまま取得,車名
27,車台番号,車台番号,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,no_syadaiba,tbba001g.no_syadaiba をそのまま取得,車台番号
28,登録日,登録日,STRING,有,なし,なし,なし,ai21rep_ve_dx.tbba001g,dd_touroku,tbba001g.dd_touroku をそのまま取得,登録日
