No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,説明/備考
1,cd_hansya,販社コード,STRING,無,無（DDL上PRIMARY KEY定義なし）,なし（DDL上未定義）,なし,uslim_ve.HANSYAINFO / uslim_ve.PROCLTMAINT,HANSYAINFO.cd_hansya / PROCLTMAINT.cd_hansya,HANSYAINFOから対象販社をtarget_cd_hansyaとして取得し、PROCLTMAINTの会社別設定または共通設定に紐づくレコードを抽出。ROW_NUMBER()で対象販社・会社の設定を優先し、rn = 1のbase.target_cd_hansyaを設定する。,販社を識別するコード。DDL上はNOT NULL。会社別設定が存在する場合は会社別設定を優先し、存在しない場合は共通設定を利用する構造。
2,cd_kaisya,会社コード,STRING,無,無（DDL上PRIMARY KEY定義なし）,なし（DDL上未定義）,なし,uslim_ve.HANSYAINFO / uslim_ve.PROCLTMAINT,HANSYAINFO.cd_kaisya / PROCLTMAINT.cd_kaisya,HANSYAINFOから対象会社をtarget_cd_kaisyaとして取得し、PROCLTMAINTの会社別設定または共通設定に紐づくレコードを抽出。ROW_NUMBER()で対象販社・会社の設定を優先し、rn = 1のbase.target_cd_kaisyaを設定する。,会社を識別するコード。DDL上はNOT NULL。会社別設定が存在する場合は会社別設定を優先し、存在しない場合は共通設定を利用する構造。
3,cd_proc_dev,工程区分コード,STRING,無,無（DDL上PRIMARY KEY定義なし）,なし（DDL上未定義）,なし,uslim_ve.PROCLTMAINT,cd_proc_dev,PROCLTMAINTから工程区分コードを取得。対象販社・会社設定と共通設定を候補にし、ROW_NUMBER()で優先順位を付与してrn = 1のみ採用する。さらにPROCPHASEMAINT t_ppmdに対してkb_proc_type = '3'、base.cd_proc_dev = t_ppmd.cd_procで結合する。,工程区分を識別するコード。DDL上はNOT NULL。
4,kj_proc_dev,工程区分名,STRING,有,無（DDL上PRIMARY KEY定義なし）,なし（DDL上未定義）,なし,uslim_ve.PROCLTMAINT,kj_proc_dev,PROCLTMAINTから工程区分名を取得。対象販社・会社設定と共通設定を候補にし、ROW_NUMBER()で優先順位を付与してrn = 1のみ採用する。SQL上、TRIMやREGEXP_REPLACE等の名称加工はなし。,工程区分コードに対応する名称。DDL上はNULL許容。
5,cd_prev_proc,前工程コード,STRING,有,無（DDL上PRIMARY KEY定義なし）,なし（DDL上未定義）,なし,uslim_ve.PROCLTMAINT,cd_prev_proc,"PROCLTMAINTから前工程コードを取得。対象販社・会社設定と共通設定を候補にし、ROW_NUMBER()で優先順位を付与してrn = 1のみ採用する。PROCPHASEMAINT t_ppmpとはCONCAT(base.cd_prev_proc, ',', base.cd_proc) = t_ppmp.cd_procで結合する。",現工程の直前に位置する工程を表すコード。DDL上はNULL許容。
6,cd_proc,プロセスコード,STRING,無,無（DDL上PRIMARY KEY定義なし）,なし（DDL上未定義）,なし,uslim_ve.PROCLTMAINT,cd_proc,"PROCLTMAINTから現工程のプロセスコードを取得。対象販社・会社設定と共通設定を候補にし、ROW_NUMBER()で優先順位を付与してrn = 1のみ採用する。PROCPHASEMAINT t_ppmpとはCONCAT(base.cd_prev_proc, ',', base.cd_proc) = t_ppmp.cd_procで結合する。",業務プロセスまたは工程を識別するコード。DDL上はNOT NULL。
7,nu_proc_lt,工程リードタイム,STRING,有,無（DDL上PRIMARY KEY定義なし）,なし（DDL上未定義）,なし,uslim_ve.PROCLTMAINT,nu_proc_lt,PROCLTMAINTから工程リードタイムを取得。対象販社・会社設定と共通設定を候補にし、ROW_NUMBER()で優先順位を付与してrn = 1のみ採用する。DDL上はINTEGERだが、要件によりImpala向け定義書ではSTRINGとして扱う。,前工程から現工程までの標準的なリードタイムを表す数値項目と考えられる。DDL上はNULL許容。
8,kb_uriag_list,売上区分リスト,STRING,有,無（DDL上PRIMARY KEY定義なし）,なし（DDL上未定義）,なし,uslim_ve.PROCCONDITION,mj_fukainfo,PROCCONDITIONをt_pcとしてLEFT JOINし、base.target_cd_hansya = t_pc.cd_hansya、base.target_cd_kaisya = t_pc.cd_kaisya、t_pc.mj_kubunid = '01'、base.cd_proc = t_pc.cd_kubunに一致するt_pc.mj_fukainfoを設定する。,プロセスに紐づく売上区分条件のリスト。LEFT JOINのため、条件が存在しない場合はNULLとなる可能性がある。
9,cd_tenpo_list,店舗コードリスト,STRING,有,無（DDL上PRIMARY KEY定義なし）,なし（DDL上未定義）,なし,uslim_ve.PROCCONDITION,mj_fukainfo,PROCCONDITIONをt_tpとしてLEFT JOINし、base.target_cd_hansya = t_tp.cd_hansya、base.target_cd_kaisya = t_tp.cd_kaisya、t_tp.mj_kubunid = '04'、base.cd_proc = t_tp.cd_kubunに一致するt_tp.mj_fukainfoを設定する。,プロセスに紐づく店舗条件のリスト。LEFT JOINのため、条件が存在しない場合はNULLとなる可能性がある。
10,sort_proc,プロセス表示順,STRING,有,無（DDL上PRIMARY KEY定義なし）,なし（DDL上未定義）,なし,uslim_ve.PROCPHASEMAINT,su_hyojijun,"PROCPHASEMAINTをt_ppmpとしてINNER JOINし、t_ppmp.kb_proc_type = '2'、CONCAT(base.cd_prev_proc, ',', base.cd_proc) = t_ppmp.cd_procに一致するt_ppmp.su_hyojijunを設定する。DDL上はINTEGERだが、要件によりImpala向け定義書ではSTRINGとして扱う。",前工程・現工程の組み合わせに対応するプロセスの並び順。DDL上はNULL許容。
11,sort_proc_dev,工程区分表示順,STRING,有,無（DDL上PRIMARY KEY定義なし）,なし（DDL上未定義）,なし,uslim_ve.PROCPHASEMAINT,su_hyojijun,PROCPHASEMAINTをt_ppmdとしてINNER JOINし、t_ppmd.kb_proc_type = '3'、base.cd_proc_dev = t_ppmd.cd_procに一致するt_ppmd.su_hyojijunを設定する。DDL上はINTEGERだが、要件によりImpala向け定義書ではSTRINGとして扱う。,工程区分単位の並び順。DDL上はNULL許容。
12,mart_created_at,マート作成日時,STRING,無,無（DDL上PRIMARY KEY定義なし）,なし（DDL上未定義）,CURRENT_TIMESTAMP（DDL上。SQL投入時はNOW()を明示設定）,なし（SQL関数）,NOW(),INSERT実行時点の日時をNOW()で設定。DDL上はTIMESTAMPだが、要件によりImpala向け定義書ではSTRINGとして扱う。,goldテーブルへデータを作成した日時を管理する項目。DDL上はNOT NULL。
