カテゴリ,タスク,単価,工数,単位,小計（税抜き）
要件定義,調査,75000,4,人日,=C2*D2
,定義書作成,75000,4,人日,=C3*D3
基本設計,構成図作成,75000,4,人日,=C4*D4
,方式設計,75000,4,人日,=C5*D5
セキュリティ,詳細設計,75000,4,人日,=C6*D6
,実装,75000,7,人日,=C7*D7
,単体テスト,75000,3,人日,=C8*D8
ネットワーク,疎通確認,75000,2,人日,=C9*D9
データソース,詳細設計,75000,4,人日,=C10*D10
,NiFi for Salesforce連携開発（データ取得）,75000,7,人日,=C11*D11
,NiFi for Salesforce連携開発（データ保存）,75000,7,人日,=C12*D12
,単体テスト,75000,3,人日,=C13*D13
結合テスト,テスト設計,75000,2,人日,=C14*D14
,テスト実施,75000,3,人日,=C15*D15
リリース対応,設計,75000,2,人日,=C16*D16
,実施,75000,3,人日,=C17*D17
プロジェクト管理,PM,87500,4,人日,=C18*D18
※窓口対応・進行管理・ディレクション,PL,87500,4,人日,=C19*D19
,,,=SUM(D2:D19),人日,=SUM(F2:F19)
,,,,,
,補足,,,,
,"【案A：現行範囲を維持して効率化】
・現行の2販社対応と、要件定義からリリースまでの工程を原則維持する一般的な試算です。
・既存のNiFiフロー、Salesforce接続設定、ネットワーク経路、認証・セキュリティ機能、構成図、設計書、テストケース、リリース手順を再利用できることを前提としています。
・2販社の処理は可能な範囲で共通化し、個別開発、重複資料、重複テスト、PM・PLの重複管理を削減します。
・現行の85人日・6,500,000円から、71人日・5,425,000円へ見直す一般的な試算です。削減幅は14人日・1,075,000円です。
・対象オブジェクト、対象項目、データ量、連携頻度、削除データの扱い、保存先、セキュリティ要件は未確定のため、要件確認後に再見積もりが必要です。
・既存資産を利用できない場合、2販社の構成が異なる場合、新規ネットワーク・認証・セキュリティ対応が必要な場合は追加工数となります。
・対象販社の追加や、本資料の範囲外となる作業は別途見積もりとし、納期は要件確定後に調整します。",,,,
