カテゴリ,タスク,単価,工数,単位,小計（税抜き）
要件定義,調査,75000,2,人日,=C2*D2
,定義書作成,75000,3,人日,=C3*D3
基本設計,構成図作成,75000,2,人日,=C4*D4
,方式設計,75000,3,人日,=C5*D5
セキュリティ,詳細設計,75000,3,人日,=C6*D6
,実装,75000,5,人日,=C7*D7
,単体テスト,75000,2,人日,=C8*D8
ネットワーク,疎通確認,75000,2,人日,=C9*D9
データソース,詳細設計,75000,2,人日,=C10*D10
,NiFi for Salesforce連携開発（データ取得）,75000,4,人日,=C11*D11
,NiFi for Salesforce連携開発（データ保存）,75000,4,人日,=C12*D12
,単体テスト,75000,2,人日,=C13*D13
結合テスト,テスト設計,75000,1,人日,=C14*D14
,テスト実施,75000,2,人日,=C15*D15
リリース対応,設計,75000,1,人日,=C16*D16
,実施,75000,2,人日,=C17*D17
プロジェクト管理,PM,87500,2,人日,=C18*D18
※窓口対応・進行管理・ディレクション,PL,87500,2,人日,=C19*D19
,,,=SUM(D2:D19),人日,=SUM(F2:F19)
,,,,,
,補足,,,,
,"【案C：第1段階のみを先行実施】
・現行見積もりと同じ完成範囲を安く実施する案ではなく、接続・取得・保存が可能かを確認するため、初回対応を最小限の範囲に限定する一般的な試算です。
・初回は1販社または限定環境、少数の主要Salesforceオブジェクト、必要最小限の項目、日次1回の連携、データ基盤への単純保存を想定しています。
・最低限必要な認証・セキュリティ対応、基本的な正常系・異常系テスト、限定範囲でのリリースは実施します。
・2販社目への展開、対象オブジェクト・項目の追加、大量の過去データ移行、添付ファイル、複雑なデータ加工・集計、高度な監視・通知、自動再実行、長期運用保守は後続対応とする想定です。
・既存のNiFi環境、接続設定、ネットワーク経路、認証・セキュリティ機能、設計資料、テストケース、リリース手順を利用できることを前提としています。
・現行の85人日・6,500,000円から、44人日・3,350,000円へ見直す一般的な試算です。削減幅は41人日・3,150,000円です。
・初回費用は抑えられますが、第1段階だけでは本格運用に必要な機能が不足する可能性があり、後続対応まで含めた総額が現行見積もりを下回るとは限りません。
・対象販社、対象オブジェクト、対象項目、データ量、連携方式、更新・削除データの扱い、保存先、セキュリティ要件、第1段階の完了条件は未確定のため、要件確認後に再見積もりが必要です。
・後続作業および本資料の範囲外となる作業は別途見積もりとし、納期は要件確定後に調整します。",,,,
