No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,更新方法,説明/備考
1,販社コード,販社コード,STRING,有,なし,なし,なし,dx_ve.vbi012003,cd_hansya,v12003.cd_hansya をそのまま取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,ストール日付別データ側の販社識別コード。tbi003001mおよびvbi012004とのJOIN条件にも使用される。
2,会社コード,会社コード,STRING,有,なし,なし,なし,dx_ve.vbi012003,cd_kaisya,v12003.cd_kaisya をそのまま取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,ストール日付別データ側の会社識別コード。tbi003001mおよびvbi012004とのJOIN条件にも使用される。
3,店舗コード,店舗コード,STRING,有,なし,なし,なし,dx_ve.vbi012003,cd_tenpo,v12003.cd_tenpo をそのまま取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,店舗を識別するコード。tbi003001mおよびvbi012004とのJOIN条件にも使用される。
4,販社会社店舗コード,販社会社店舗コード,STRING,有,なし,なし,なし,dx_ve.vbi012003,"cd_hansya, cd_kaisya, cd_tenpo","concat(v12003.cd_hansya, v12003.cd_kaisya, v12003.cd_tenpo) により、販社コード・会社コード・店舗コードを連結",DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,販社・会社・店舗をまとめて識別するための分析用キー。元項目にNULLがある場合は結果がNULLになる可能性がある。
5,ストール番号,ストール番号,STRING,有,なし,なし,なし,dx_ve.vbi012003,no_stall,v12003.no_stall をそのまま取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,ストールを識別する番号。vbi012004とのJOIN条件にも使用される。
6,ストール名称,ストール名称,STRING,有,なし,なし,なし,dx_ve.vbi012003,mj_stallmei,v12003.mj_stallmei をそのまま取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,ストール番号に対応するストール名称。正式な業務定義は元テーブル定義の確認が必要。
7,ストール選択,ストール選択,STRING,有,なし,なし,なし,dx_ve.vbi012003,kb_stallsentaku,v12003.kb_stallsentaku をそのまま取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,ストール選択に関する区分項目。コード値の正式な意味は元テーブル定義の確認が必要。
8,日付,日付,STRING,有,なし,なし,なし,dx_ve.vbi012003,dd_date,v12003.dd_date をそのまま取得,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,ストール別の対象日付。vbi012004の使用開始・使用終了日時の当日判定、および30分枠の日時生成にも使用される。
9,時刻,時刻,STRING,無,なし,なし,なし,固定値リスト（CROSS JOIN）,tm_jikoku,CROSS JOINの固定値リストにより、'08:00'から'19:30'までの30分単位の時刻を生成。WHERE句でtbi003001mの開店時刻・閉店時刻内に該当する時刻のみ出力,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,店舗・ストール・日付ごとの30分単位の時間枠。共有SQLではCROSS JOIN内に構文上の不備があるが、意図としては固定時刻リストを付与する処理。
10,予約不可フラグ,予約不可フラグ,STRING,無,なし,なし,なし,dx_ve.vbi012003 / dx_ve.vbi012004 / dx_ve.tbi003001m / 固定値リスト（CROSS JOIN）,"kb_kyukei, dd_date, dt_siyost, dt_siyoed, tm_kaiten, tm_heiten, tm_jikoku",v12003.kb_kyukei=1の場合は1を設定。休憩・非稼働でない場合は、bt.tm_jikokuごとにv12003.dd_dateへ開始分・終了分を加算して30分枠を作成し、v12004.dt_siyost～v12004.dt_siyoedの使用時間帯と重なる場合は1、重ならない場合は0を設定。対象時刻はtbi003001m.tm_kaiten以上かつtm_heiten未満の営業時間内に限定,DROP TABLE IF EXISTS後、CREATE TABLE AS SELECTによる全件再作成,予約不可であれば1、予約可能であれば0を示す判定フラグ。既存使用時間帯と30分枠の重なり判定、および休憩・非稼働判定に基づく。vbi012004が同一ストール・日付で複数行一致する場合、同じ時刻枠が複数行になる可能性がある。
