No,カラム名,カラム論理名,データ型,NULL有/無,主キー,パーティション定義,デフォルト値,元テーブル,元カラム,変換加工ロジック,更新方法,説明/備考
1,cd_hansya,販社コード,STRING,有,－,－,－,uslim_ve.DM_FILEDOWNLOAD_LOG_DETAIL,cd_hansya,SELECT DISTINCT により、ユーザー単位のフィルター候補として重複を除外して設定,全件洗い替え（TRUNCATE → INSERT）,ユーザーフィルター候補を販社単位で保持するためのコード。DDL上は VARCHAR(50) だが、Impala向けに STRING として扱う。SQL上の参照元は uslim_ve.DM_FILEDOWNLOAD_LOG_DETAIL。
2,cd_kaisya,会社コード,STRING,有,－,－,－,uslim_ve.DM_FILEDOWNLOAD_LOG_DETAIL,cd_kaisya,SELECT DISTINCT により、ユーザー単位のフィルター候補として重複を除外して設定,全件洗い替え（TRUNCATE → INSERT）,ユーザーフィルター候補を会社単位で保持するためのコード。DDL上は VARCHAR(50) だが、Impala向けに STRING として扱う。SQL上の参照元は uslim_ve.DM_FILEDOWNLOAD_LOG_DETAIL。
3,cd_user,ユーザーコード,STRING,無,－,－,－,uslim_ve.DM_FILEDOWNLOAD_LOG_DETAIL,cd_user,ログ明細側の cd_user をそのまま設定,全件洗い替え（TRUNCATE → INSERT）,ファイルダウンロードログをユーザー別に絞り込むための中心項目。DDL上は VARCHAR(50) NOT NULL だが、Impala向けに STRING として扱う。
4,value,フィルター値,STRING,有,－,－,－,uslim_ve.DM_FILEDOWNLOAD_LOG_DETAIL,cd_user,cd_user AS value により、ユーザーコードをフィルター内部値として設定,全件洗い替え（TRUNCATE → INSERT）,画面やBIツールのフィルターで内部的に使用する値。例：cd_user が 'U001' の場合、value も 'U001' となる。DDL上は VARCHAR(50) だが、Impala向けに STRING として扱う。
5,label,フィルター表示名,STRING,有,－,－,－,uslim_ve.DM_FILEDOWNLOAD_LOG_DETAIL,mj_name,mj_name AS label により、ユーザー名をフィルター表示名として設定,全件洗い替え（TRUNCATE → INSERT）,画面やBIツールのフィルターに表示するユーザー名。ログ明細側では USERINFO.mj_name を優先し、NULL の場合は ACCESSUSER.mj_name で補完された値。DDL上は VARCHAR(255) だが、Impala向けに STRING として扱う。
6,link_key,リンクキー,STRING,有,－,－,－,uslim_ve.DM_FILEDOWNLOAD_LOG_DETAIL,link_key,ログ明細側の link_key をそのまま設定,全件洗い替え（TRUNCATE → INSERT）,画面側のリンク・フィルター連携などに使用する想定のキー。ログ明細側では販売店コードを含む JSON 形式風の文字列として作成されている。DDL上は VARCHAR(500) だが、Impala向けに STRING として扱う。
7,cd_chiiki,地域コード,STRING,有,－,－,－,uslim_ve.DM_FILEDOWNLOAD_LOG_DETAIL,cd_chiiki,ログ明細側の cd_chiiki をそのまま設定,全件洗い替え（TRUNCATE → INSERT）,ユーザーフィルター候補に地域情報を付与するための項目。ログ明細側では HANSYAINFO.cd_chiiki から取得されている。DDL上は VARCHAR(50) だが、Impala向けに STRING として扱う。
8,cd_hanbaitn,販売店コード,STRING,有,－,－,－,uslim_ve.DM_FILEDOWNLOAD_LOG_DETAIL,cd_hanbaitn,ログ明細側の cd_hanbaitn をそのまま設定,全件洗い替え（TRUNCATE → INSERT）,ユーザーフィルター候補に販売店情報を付与するための項目。ログ明細側では HANSYAINFO.cd_hanbaitn から取得されている。DDL上は VARCHAR(50) だが、Impala向けに STRING として扱う。
9,kj_kaisyatn,会社店舗名,STRING,有,－,－,－,uslim_ve.DM_FILEDOWNLOAD_LOG_DETAIL,kj_kaisyatn,ログ明細側の kj_kaisyatn をそのまま設定,全件洗い替え（TRUNCATE → INSERT）,ユーザーフィルター候補に会社店舗名または販売店名を付与するための表示用名称。ログ明細側では HANSYAINFO.kj_hanbaitn を kj_kaisyatn として設定している。DDL上は VARCHAR(255) だが、Impala向けに STRING として扱う。
10,mart_created_at,マート作成日時,STRING,無,－,－,CURRENT_TIMESTAMP,システム関数,NOW(),SQLでは NOW() を明示的に設定。DDL上は TIMESTAMP NOT NULL DEFAULT CURRENT_TIMESTAMP だが、運用方針により STRING として扱う想定,全件洗い替え（TRUNCATE → INSERT）,データマートのレコード作成日時。DDLにはデフォルト値があるが、今回のINSERTでは NOW() を明示設定している。
