カテゴリ,タスク,単価,工数,単位,小計（税抜き）
要件定義,調査,75000,3,人日,=C2*D2
,定義書作成,75000,4,人日,=C3*D3
基本設計,構成図作成,75000,3,人日,=C4*D4
,方式設計,75000,4,人日,=C5*D5
セキュリティ,詳細設計,75000,3,人日,=C6*D6
,実装,75000,6,人日,=C7*D7
,単体テスト,75000,3,人日,=C8*D8
ネットワーク,疎通確認,75000,2,人日,=C9*D9
データソース,詳細設計,75000,3,人日,=C10*D10
,NiFi for Salesforce連携開発（データ取得）,75000,5,人日,=C11*D11
,NiFi for Salesforce連携開発（データ保存）,75000,5,人日,=C12*D12
,単体テスト,75000,3,人日,=C13*D13
結合テスト,テスト設計,75000,2,人日,=C14*D14
,テスト実施,75000,2,人日,=C15*D15
リリース対応,設計,75000,2,人日,=C16*D16
,実施,75000,2,人日,=C17*D17
プロジェクト管理,PM,87500,3,人日,=C18*D18
※窓口対応・進行管理・ディレクション,PL,87500,3,人日,=C19*D19
,,,=SUM(D2:D19),人日,=SUM(F2:F19)
,,,,,
,補足,,,,
,"【案B：初回の対象範囲を限定】
・現行見積もりの全範囲を同じ条件で安く実施する案ではなく、初回の対象販社、Salesforceオブジェクト、取得項目、対象期間などを限定する一般的な試算です。
・削減方法として、2販社のうち1販社を先行する、または2販社とも対象としつつ主要オブジェクト・必要項目だけに限定することを想定しています。
・連携方式は日次1回の差分連携を基本とし、添付ファイル、複雑なデータ加工・集計、大量の過去データ移行、リアルタイム・高頻度連携は初回対象外とする想定です。
・既存のNiFi環境、接続設定、ネットワーク経路、認証・セキュリティ機能、設計資料、テストケース、リリース手順を利用できることを前提としています。
・現行の85人日・6,500,000円から、58人日・4,425,000円へ見直す一般的な試算です。削減幅は27人日・2,075,000円です。
・対象外とした販社、オブジェクト、項目、過去データ、添付ファイル、加工処理などを後から追加する場合は、設計・開発・テスト・リリースの追加費用が発生する可能性があります。
・対象オブジェクト、必須項目、データ量、更新・削除データの扱い、保存先、個人情報、セキュリティ要件は未確定のため、要件確認後に工数と金額の再計算が必要です。
・対象販社の追加や、本資料の範囲外となる作業は別途見積もりとし、納期は要件確定後に調整します。",,,,
