優先度,テーブル名,論理名,主な役割,候補理由,主なキー,利益との関係,現時点の判断,推奨履歴方式,主な確認先,次の確認
A：最優先,TBAZ017M,車両基本DB,車両基本情報／車両識別,車両番号・登録情報・抹消情報を持つ,CD_NORIKUSI・KB_NOSYASYU・CD_HANSYA,直接なし（車両接続用）,優先して業務・実データ確認,最新＋変更履歴,セキグチさん・車両管理識者・インフラ,車両IDのNULL・重複・接続率を確認
A：最優先,TBAZ018M,車両付加ＤＢ,車両付加情報／所有/使用関係／車両特定ID,車両特定ID・注文NO・納車日を持つ,NO_CYUMON・CD_NORIKUSI・KB_NOSYASYU,直接なし（車両接続用）,優先して業務・実データ確認,最新＋変更履歴,セキグチさん・車両管理識者・インフラ,車両IDのNULL・重複・接続率を確認
A：最優先,TBBA001G,新車受注基本DB,新車受注／登録／売上／納車管理,受注から登録・売上・納車・取消まで持つ,NO_CYUMON・NO_CYUMONED・NO_SYADAIBA,新車利益の受注・売上基準,優先して業務・実データ確認,最新＋状態履歴,セキグチさん・新車利益/帳票担当・インフラ,受注キー・状態・取消を確認
B：利益根拠,TBBA002G,新車受注追工DB,新車追工／用品／追加作業明細,追工の売価・予定原価・取消を持つ,NO_CYUMON・NO_CYUMONED・CD_HANSYA,追工利益の内訳,利益内訳が必要なら採用,追記＋取消/訂正版,セキグチさん・新車利益/帳票担当・インフラ,利益計算への使用有無と変更頻度を確認
B：利益根拠,TBBA052G,新車受注販売条件情報DB,新車販売条件／価格／原価,新車価格・値引・原価・費用を持つ,NO_CYUMON・NO_CYUMONED・CD_HANSYA,新車利益の主な計算根拠,利益内訳が必要なら採用,変更時のみ履歴,セキグチさん・新車利益/帳票担当・インフラ,利益計算への使用有無と変更頻度を確認
A：最優先,TBBG088G,新車利益分析ＤＢ,新車利益分析,新車の計算済み利益と利益内訳を持つ,NO_CYUMON・CD_HANSYA・CD_KAISYA,新車利益の正式値候補,優先して業務・実データ確認,利益結果＋根拠明細,セキグチさん・新車利益/帳票担当・インフラ,粒度・正式利益・取消反映を比較
B：利益根拠,TBBA053G,新車受注任意諸費用情報ＤＢ,新車任意諸費用,新車の任意諸費用と原価を持つ,NO_CYUMON・NO_CYUMONED・CD_HANSYA,新車利益の諸費用内訳,利益内訳が必要なら採用,変更時のみ履歴,セキグチさん・新車利益/帳票担当・インフラ,利益計算への使用有無と変更頻度を確認
B：利益根拠,TBBA054G,新車受注任意預かり金情報ＤＢ,新車任意預かり金,新車の任意預かり金を持つ,NO_CYUMON・NO_CYUMONED・CD_HANSYA,預かり金（利益外の可能性）,利益内訳が必要なら採用,変更時のみ履歴,セキグチさん・新車利益/帳票担当・インフラ,利益計算への使用有無と変更頻度を確認
B：利益根拠,TBBA055G,新車受注割賦情報ＤＢ,新車割賦情報,新車の割賦元金・手数料を持つ,NO_CYUMON・NO_CYUMONED・CD_HANSYA,割賦収益の計算根拠,利益内訳が必要なら採用,変更時のみ履歴,セキグチさん・新車利益/帳票担当・インフラ,利益計算への使用有無と変更頻度を確認
A：最優先,TBBA003G,受注下取DB,新車受注に紐づく下取り管理,新車受注と下取り車・査定をつなげられる,NO_CYUMON・NO_CYUMONED・CD_NORIKUSI,下取価格・仕入れとの接続,優先して業務・実データ確認,追記＋取消/訂正版,セキグチさん・新車利益/帳票担当・インフラ,査定・下取・在庫の接続率を確認
C：詳細分析,TBNH001G,査定基本情報ＤＢ,査定基本情報,査定NO・車両・注文をつなげられる,NO_STI・NO_CYUMON・NO_SYARYOU,査定と仕入価格の接続,詳細分析の要否で判断,追記＋取消/訂正版,セキグチさん・査定/下取り担当・インフラ,査定・下取・在庫の接続率を確認
C：詳細分析,TBNH013G,査定入庫査定価格ＤＢ,入庫時査定価格,入庫時の査定価格・調整額を持つ,NO_STI・CD_HANSYA・CD_KAISYA,査定差額の分析,詳細分析の要否で判断,追記＋取消/訂正版,セキグチさん・査定/下取り担当・インフラ,査定・下取・在庫の接続率を確認
C：詳細分析,TBNH021G,査定値付結果ＤＢ,最終値付結果,最終的な下取・買取価格を持つ,NO_STI・CD_HANSYA・CD_KAISYA,最終仕入価格の根拠,詳細分析の要否で判断,追記＋取消/訂正版,セキグチさん・査定/下取り担当・インフラ,査定・下取・在庫の接続率を確認
A：最優先,TBAZ032M,入庫歴ＤＢ,サービス入庫／精算履歴,入庫・精算日・売上・値引を持つ,NO_JUCYU・NO_FRAME・NO_DUOSYADA,整備売上の候補,優先して業務・実データ確認,追記＋取消/訂正版,サービス・整備業務担当・帳票担当・インフラ,整備売上・原価の正式参照先を確認
A：最優先,TBAZ034M,整備歴ＤＢ,整備内容履歴,受注ごとの整備コード・内容を持つ,NO_JUCYU・CD_NORIKUSI・KB_NOSYASYU,整備内容の分類,優先して業務・実データ確認,追記＋取消/訂正版,サービス・整備業務担当・帳票担当・インフラ,整備売上・原価の正式参照先を確認
B：利益根拠,TBFA001G,受注ＤＢ,サービス受注ヘッダ,整備受注・車両・取消状態を持つ,NO_JUCYU・CD_NORIKUSI・KB_NOSYASYU,整備利益の受注基準,利益内訳が必要なら採用,最新＋状態履歴,サービス・整備業務担当・帳票担当・インフラ,整備売上・原価の正式参照先を確認
